date;0;1;2;3;4;5;6;7;8;9;10;11
7.7.2006;-1.03;-0.956462045;-0.927072509;-0.90018926;-0.878777445;-0.86718384;-0.86718384;-0.878777445;-0.90018926;-0.927072509;-0.956462045;-1.03
8.7.2006;-1.03;-0.96315447;-0.931923004;-0.905455809;-0.88468501;-0.873427051;-0.873427051;-0.88468501;-0.905455809;-0.931923004;-0.96315447;-1.03
9.7.2006;-1.03;-0.954892469;-0.921266385;-0.894767527;-0.87436768;-0.863325403;-0.863325403;-0.87436768;-0.894767527;-0.921266385;-0.954892469;-1.03
10.7.2006;-1.03;-0.949558551;-0.913567661;-0.886933599;-0.866882791;-0.856061115;-0.856061115;-0.866882791;-0.886933599;-0.913567661;-0.949558551;-1.03
11.7.2006;-1.03;-0.961669144;-0.924960664;-0.898599234;-0.879158887;-0.868707291;-0.868707291;-0.879158887;-0.898599234;-0.924960664;-0.961669144;-1.03
12.7.2006;-1.03;-0.943644908;-0.904459602;-0.877664371;-0.858381081;-0.848076499;-0.848076499;-0.858381081;-0.877664371;-0.904459602;-0.943644908;-1.03
13.7.2006;-1.03;-0.943212963;-0.902164095;-0.875082999;-0.85604921;-0.845952853;-0.845952853;-0.85604921;-0.875082999;-0.902164095;-0.943212963;-1.03
14.7.2006;-1.03;-0.950468281;-0.908424368;-0.881153577;-0.862387259;-0.852513428;-0.852513428;-0.862387259;-0.881153577;-0.908424368;-0.950468281;-1.03
15.7.2006;-1.03;-0.959984293;-0.917853186;-0.890568048;-0.872120492;-0.862493652;-0.862493652;-0.872120492;-0.890568048;-0.917853186;-0.959984293;-1.03
16.7.2006;-1.03;-0.968148197;-0.926397126;-0.899130527;-0.880955872;-0.871545271;-0.871545271;-0.880955872;-0.899130527;-0.926397126;-0.968148197;-1.03
17.7.2006;-1.03;-0.979046683;-0.938461003;-0.911446991;-0.893625528;-0.884467521;-0.884467521;-0.893625528;-0.911446991;-0.938461003;-0.979046683;-1.03
18.7.2006;-1.03;-0.990854232;-0.952044106;-0.92544758;-0.908008922;-0.89910827;-0.89910827;-0.908008922;-0.92544758;-0.952044106;-0.990854232;-1.03
19.7.2006;-1.03;-1.000683913;-0.963894352;-0.937753921;-0.920645582;-0.911964007;-0.911964007;-0.920645582;-0.937753921;-0.963894352;-1.000683913;-1.03
20.7.2006;-1.03;-0.990504477;-0.954432638;-0.928385167;-0.911336411;-0.902724474;-0.902724474;-0.911336411;-0.928385167;-0.954432638;-0.990504477;-1.03
21.7.2006;-1.03;-0.992727279;-0.957540659;-0.931743322;-0.914841754;-0.906335573;-0.906335573;-0.914841754;-0.931743322;-0.957540659;-0.992727279;-1.03
22.7.2006;-1.03;-0.949286523;-0.911193082;-0.884678636;-0.867424366;-0.858774049;-0.858774049;-0.867424366;-0.884678636;-0.911193082;-0.949286523;-1.03
23.7.2006;-1.03;-0.954383692;-0.915044901;-0.888503413;-0.871336893;-0.862763794;-0.862763794;-0.871336893;-0.888503413;-0.915044901;-0.954383692;-1.03
24.7.2006;-1.03;-0.958668393;-0.918647081;-0.892122481;-0.875088168;-0.866613808;-0.866613808;-0.875088168;-0.892122481;-0.918647081;-0.958668393;-1.03
25.7.2006;-1.03;-0.947384154;-0.905582419;-0.878624779;-0.861481326;-0.852989508;-0.852989508;-0.861481326;-0.878624779;-0.905582419;-0.947384154;-1.03
26.7.2006;-1.03;-0.956885527;-0.914815406;-0.887921897;-0.870956635;-0.862589503;-0.862589503;-0.870956635;-0.887921897;-0.914815406;-0.956885527;-1.03
